Product code,Product label,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
'1512,"Sunflower-seed, safflower or cotton-seed oil and fractions thereof, whether or not refined, ...",9872353.0,11392007.0,10205575.0,10037810.0,8603075.0,9794650.0,11018584.0,10567860.0,11423554.0,13377132.0,17126850.0
'1513,"""Coconut """"copra"""", palm kernel or babassu oil and fractions thereof, whether or not refined, ...",7325957.0,5545891.0,4772780.0,6105025.0,5581289.0,6239835.0,7348659.0,5717038.0,4243037.0,4692073.0,7474910.0
'1514,"Rape, colza or mustard oil and fractions thereof, whether or not refined, but not chemically ...",8322230.0,8393372.0,8465719.0,7005984.0,6055219.0,6296825.0,6312979.0,6336759.0,6638489.0,7854103.0,12268348.0
'1515,"Fixed vegetable fats and oils, incl. jojoba oil, and their fractions, whether or not refined, ...",4225715.0,4160915.0,3973226.0,3710165.0,3984893.0,3803184.0,4275689.0,4163174.0,4199944.0,4500263.0,5462188.0
'1516,"Animal or vegetable fats and oils and their fractions, partly or wholly hydrogenated, inter-esterified, ...",6288872.0,5776328.0,5472546.0,4192824.0,3470178.0,3669370.0,4093079.0,3856347.0,3364845.0,3657981.0,5733508.0
'1517,"Margarine, other edible mixtures or preparations of animal or vegetable fats or oils and edible ...",6795037.0,6245324.0,6097125.0,6138749.0,5159588.0,5272757.0,6021228.0,5939860.0,5659479.0,5878391.0,8281897.0
'1518,"Animal or vegetable fats and oils and their fractions, boiled, oxidised, dehydrated, sulphurised, ...",1834552.0,2096609.0,1942850.0,1978819.0,1650242.0,1994819.0,2564001.0,2573926.0,3036317.0,4102221.0,6967872.0
'1520,"Glycerol, crude; glycerol waters and glycerol lyes",307790.0,460497.0,513220.0,478223.0,348943.0,342090.0,512616.0,731262.0,454865.0,491698.0,1073749.0
'1521,"Vegetable waxes, beeswax, other insect waxes and spermaceti, whether or not refined or coloured ...",334844.0,385746.0,357817.0,368194.0,336405.0,312074.0,329906.0,318384.0,312707.0,293705.0,329955.0
'1522,Degras; residues resulting from the treatment of fatty substances or animal or vegetable waxes,151996.0,177376.0,152995.0,187651.0,91342.0,93990.0,100798.0,114255.0,104595.0,127045.0,160986.0
'1601,"Sausages and similar products, of meat, offal or blood; food preparations based on these products",4504364.0,4847517.0,5309889.0,5229180.0,4427389.0,4534332.0,4970442.0,5235309.0,5273402.0,5750519.0,6368388.0
'1602,"Prepared or preserved meat, offal or blood (excluding sausages and similar products, and meat ...",14742388.0,14907606.0,15792606.0,16114530.0,14528043.0,14254677.0,15412638.0,16753391.0,16640173.0,15967724.0,17872000.0
'1603,"Extracts and juices of meat, fish or crustaceans, molluscs and other aquatic invertebrates",209898.0,186426.0,214378.0,209827.0,219237.0,250360.0,250099.0,259830.0,278638.0,327925.0,280185.0
