Product code,Product label,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
'2103,"Sauce and preparations therefor; mixed condiments and mixed seasonings; mustard flour and meal, ...",50117,57903,61617,59070,53638,52901,46292,48120,61687,76534,71960,87513
'2104,Soups and broths and preparations therefor; food preparations consisting of finely homogenised ...,44708,40883,68673,60401,48394,36277,28099,35877,29778,43408,35520,39432
'2105,"Ice cream and other edible ice, whether or not containing cocoa",31274,36284,53751,51941,36388,34788,32784,34456,44881,43020,55317,75674
'2106,"Food preparations, n.e.s.",400708,364924,388053,418817,332139,342228,348353,389426,399096,400436,443992,529423
'2201,"Waters, incl. natural or artificial mineral waters and aerated waters, not containing added ...",33040,37345,44877,54844,62185,64201,66297,62288,61704,51460,58439,69540
'2202,"Waters, incl. mineral waters and aerated waters, containing added sugar or other sweetening ...",97994,108448,130101,155729,145507,134527,162772,192413,184822,191155,279507,338883
'2203,Beer made from malt,64240,71435,70092,59959,46962,37192,34759,39086,47122,40930,47636,60804
'2204,"Wine of fresh grapes, incl. fortified wines; grape must, partly fermented and of an actual ...",8757,9271,14999,15046,10543,10125,9762,10147,14748,6851,8547,13626
'2205,"Vermouth and other wine of fresh grapes, flavoured with plants or aromatic substances",0,38,87,60,31,34,35,34,23,22,10,3
'2206,"Cider, perry, mead and other fermented beverages and mixtures of fermented beverages and non-alcoholic ...",289,240,314,274,455,335,566,656,441,384,308,220
'2207,"Undenatured ethyl alcohol of an alcoholic strength of >= 80%; ethyl alcohol and other spirits, ...",25943,27877,3892,4438,964,454,808,714,4338,5167,11760,11550
'2208,"Undenatured ethyl alcohol of an alcoholic strength of < 80%; spirits, liqueurs and other spirituous ...",25863,28374,46857,62420,45301,40351,41530,42969,43905,34935,40444,47764
'2209,"Vinegar, fermented vinegar and substitutes for vinegar obtained from acetic acid",2596,2707,2889,3533,3206,3427,3651,4265,5048,7445,5483,5511
'2301,"Flours, meals and pellets, of meat or meat offal, of fish or of crustaceans, molluscs or other ...",508,1152,745,2269,478,2079,7353,10630,17162,17975,8873,8289
'2302,"Bran, sharps and other residues, whether or not in the form of pellets, derived from the sifting, ...",14264,2563,1442,1814,4821,5980,15137,29243,8597,2716,31233,57232
'2303,"Residues of starch manufacture and similar residues, beet-pulp, bagasse and other waste of ...",680,78,3544,1119,1147,966,1841,4199,3126,5375,12806,18625
'2304,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ...",4508,6569,86573,144137,23110,19496,18273,22211,204280,197953,326168,537655
'2305,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ...",0,0,0,147,5,0,2,0,0,0,38,0
'2306,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ...",3323,3834,2900,5950,5250,5790,7072,14206,8904,7901,25829,35926
'2307,Wine lees; argol,33,51,138,129,36,5,8,12,33,18,57,1
'2308,"Acorns, horse-chestnuts, marc and other vegetable materials and vegetable waste, vegetable ...",88,4432,98,1578,335,70,1370,538,628,574,1513,1125
'2309,Preparations of a kind used in animal feeding,27574,112421,191747,114215,75406,94803,135767,157945,162084,182901,294726,492919
'2401,Unmanufactured tobacco; tobacco refuse,369464,427092,438925,517411,386138,358123,349636,382934,262472,267542,260938,261113
'2402,"Cigars, cheroots, cigarillos and cigarettes of tobacco or of tobacco substitutes",247677,333402,534934,754745,452337,496021,479870,468843,471774,431135,342236,414908
'2403,"""Manufactured tobacco and manufactured tobacco substitutes and """"homogenised"""" or """"reconstituted"""" ...",53484,81938,91093,93014,80017,152235,116693,157844,175546,210537,178505,165113
'2404,"Products containing tobacco, reconstituted tobacco, nicotine, or tobacco or nicotine substitutes, ...",0,0,0,0,0,0,0,0,0,0,0,17
'2501,"Salts, incl. table salt and denatured salt, and pure sodium chloride, whether or not in aqueous ...",30821,9167,12358,18497,26828,21407,25211,30439,40674,39547,42331,64250
'2502,Unroasted iron pyrites,1,6,135,1227,508,504,578,768,525,456,6031,6127
'2503,"Sulphur of all kinds (excluding sublimed sulphur, precipitated sulphur and colloidal sulphur)",10729,10361,6758,10362,17254,10651,17568,24601,17159,11732,42203,112031
'2504,Natural graphite,983,1012,1240,950,759,614,967,1291,1399,924,1435,1700
'2505,"Natural sands of all kinds, whether or not coloured (excluding gold- and platinum-bearing sands, ...",5137,6636,6945,6902,5568,4008,4613,6093,7327,7116,9020,7670
'2506,"Quartz (excluding natural sands); quartzite, whether or not roughly trimmed or merely cut, ...",37290,42197,51837,62433,68161,68166,76142,74451,79927,68225,77706,77803
